A  a
SAUT-DE-LOUP  s o d x^ l u
SAUTA  s o t a
SAUTAIT  s o t e^
SAUTANT  s o t a~
SAUTE  s o t
SAUTE  s o t q
SAUTER  s o t e
SAUTER  s o t e r
SAUTERELLES  s o t r e^ l
SAUTILLAIENT  s o t i j e^
SAUVA  s o v a
SAUVAGE  s o v a z^
SAUVAGE  s o v a z^ q
SAUVAGES  s o v a z^ q
SAUVAGES  s o v a z^
SAUVANT  s o v a~
SAUVE  s o v
SAUVE  s o v q
SAUVE-TOI  s o v t w a
SAUVEGARDE  s o v x^ g a r d q
SAUVEGARDER  s o v x^ g a r d e r
SAUVER  s o v e
SAUVERA  s o v x^ r a
SAUVERAIS  s o v x^ r e^
SAUVERONS  s o v r o~
SAUVEUR  s o v x^ r
SAUVEZ  s o v e
SAUVÉ  s o v e
SAUVÉE  s o v e
SAUVÉS  s o v e
SAVAIENT  s a v e^
SAVAIS  s a v e^
SAVAIS  s a v e^ z
SAVAIT  s a v e^
SAVAIT  s a v e^ t
SAVAMMENT  s a v a m a~
SAVAMMENT  s a v a m a~ t
SAVANT  s a v a~
SAVANTE  s a v a~ t
SAVATE  s a v a t
SAVATES  s a v a t q
SAVATES  s a v a t
SAVENT  s a v
SAVENT  s a v t
SAVETIERS  s a v x^ t j e
SAVEZ  s a v e
SAVEZ  s a v e z
SAVEZ-VOUS  s a v e v u
SAVIEZ  s a v j e
SAVIEZ  s a v j e z
SAVOIE  s a v w a
SAVOIR  s a v w a r
SAVON  s a v o~
SAVONS  s a v o~ z
SAVONS  s a v o~
SAVOUREUSE  s a v u r x z
SAVOUREUSES  s a v u r x z
SAVOURÉ  s a v u r e
SAXE  s a k s q
SCANDALE  s k a~ d a l q
SCANDALE  s k a~ d a l
SCANDALEUSEMENT  s k a~ d a l x z m a~
SCARIFIER  s k a r i f j e
SCEAUX  s o
SCELLÉ  s e l e
SCEPTIQUE  s e^ p t i k
SCIE  s i
SCIEMMENT  s j a m a~ t
SCIEMMENT  s j a m a~
SCIENCE  s j a~ s
SCIENCES  s j a~ s
SCIENCES  s j a~ s z
SCIENTIFIQUES  s j a~ t i f i k
SCINTILLAIENT  s e~ t i j e^
SCINTILLAIENT  s e~ t i j e^ t
SCINTILLATIONS  s e~ t i j a s j o~
SCINTILLEMENT  s e~ t i j x^ m a~
SCINTILLENT  s e~ t i j t
SCINTILLER  s e~ t i j e
SCOTT  s k o^ t
SCRUPULE  s k r y p y l
SCRUPULES  s k r y p y l
SCRUPULEUSE  s k r y p y l x z
SCRUPULEUSEMENT  s k r y p y l x z m a~
SCRUPULEUX  s k r y p y l x
SCRUTEUR  s k r y t x^ r
SCULPTER  s k y l t e
SCULPTURALE  s k y l t y r a l q
SCULPTURES  s k y l t y r
SCULPTÉ  s k y l t e
SCÈNE  s e^ n
SCÈNE  s e^ n q
SCÈNES  s e^ n q
SCÈNES  s e^ n
SCÈNES  s e^ n z
SCÉLÉRAT  s e l e r a
SCÉLÉRATESSE  s e l e r a t e^ s
SCÉLÉRATS  s e l e r a z
SCÉLÉRATS  s e l e r a
SE  s x^
SE  s
SE  s q
SEAU  s o
SEC  s e^ k
SECOND  s x^ g o~
SECOND  s x^ g o~ t
SECONDAIRE  s x^ g o~ d e^ r
SECONDAIRES  s x^ g o~ d e^ r
SECONDE  s x^ g o~ d
SECONDE  s x^ g o~ d q
SECONDER  s x^ g o~ d e
SECONDES  s x^ g o~ d q
SECONDES  s x^ g o~ d
SECONDS  s x^ g o~ z
SECONDS  s x^ g o~
SECOUA  s x^ k w a
SECOUANT  s x^ k w a~
SECOUANT  s x^ k u a~
SECOUER  s x^ k w e
SECOUERAIT  s x^ k u r e^
SECOUONS  s x^ k w o~
SECOURABLE  s x^ k u r a b l
SECOURIR  s x^ k u r i r
SECOURS  s x^ k u r
SECOURS  s x^ k u r z
SECOURT  s x^ k u r
SECOUSSES  s x^ k u s
SECOUÉ  s x^ k w e
SECOUÉS  s x^ k w e
SECRET  s x^ k r e^
SECRET  s x^ k r e^ t
SECRETS  s x^ k r e^
SECRÈTE  s x^ k r e^ t
SECRÈTEMENT  s x^ k r e^ t x^ m a~
SECRÈTEMENT  s x^ k r e^ t m a~
SECRÈTES  s x^ k r e^ t
SECRÉTAIRE  s x^ k r e t e^ r
SECRÉTAIRES  s x^ k r e t e^ r
SECS  s e^ k
SEIGNEUR  s e^ n j x^ r
SEIGNEURIAL  s e^ n j x^ r j a l
SEIGNEURS  s e^ n j x^ r
SEIN  s e~
SEINE  s e^ n
SEINE  s e^ n q
SEIZE  s e^ z
SEL  s e^ l
SELLE  s e l q
SELON  s x^ l o~
SEMAINE  s x^ m e^ n
SEMAINE  s x^ m e^ n q
SEMAINES  s m e^ n q
SEMAINES  s m e^ n
SEMAINES  s x^ m e^ n q
SEMAINES  s x^ m e^ n
SEMAINES  s x^ m e^ n z
SEMAIT  s x^ m e^
SEMBLA  s a~ b l a
SEMBLABLE  s a~ b l a b l
SEMBLABLE  s a~ b l a b l q
SEMBLABLES  s a~ b l a b l z
SEMBLABLES  s a~ b l a b l q
SEMBLAIENT  s a~ b l e^ t
SEMBLAIENT  s a~ b l e^
SEMBLAIT  s a~ b l e^
SEMBLAIT  s a~ b l e^ t
SEMBLANT  s a~ b l a~
SEMBLANTS  s a~ b l a~
SEMBLE  s a~ b l q
SEMBLE  s a~ b l
SEMBLENT  s a~ b l t
SEMBLENT  s a~ b l q
SEMBLER  s a~ b l e r
SEMBLERA  s a~ b l x^ r a
SEMBLERAIT  s a~ b l x^ r e^ t
SEMBLEZ  s a~ b l e z
SEMBLÈRENT  s a~ b l e^ r
SEMBLÉ  s a~ b l e
SEMELLE  s x^ m e^ l
SEMELLES  s x^ m e^ l
SEMER  s x^ m e
SEMER  s x^ m e r
SEMIS  s x^ m i
SEMÉ  s x^ m e
SEMÉS  s x^ m e
SENS  s a~ s
SENS  s a~
SENS  s a~ z
SENSATION  s a~ s a s j o~
SENSATIONS  s a~ s a s j o~
SENSIBILITÉ  s a~ s i b i l i t e
SENSIBLE  s a~ s i b l
SENSIBLE  s a~ s i b l q
SENSIBLEMENT  s a~ s i b l x^ m a~
SENSUALITÉS  s a~ s y a l i t e z
SENSUALITÉS  s a~ s y a l i t e
SENSUEL  s a~ s y e^ l
SENSÉ  s a~ s e
SENSÉE  s a~ s e
SENT  s a~
SENTAIENT  s a~ t e^
SENTAIS  s a~ t e^
SENTAIT  s a~ t e^
SENTAIT  s a~ t e^ t
SENTAIT-IL  s a~ t e^ t i l
SENTAIT-ON  s a~ t e^ t o~
SENTANT  s a~ t a~
SENTENCES  s a~ t a~ s
SENTENCIEUSEMENT  s a~ t a~ s j x z m a~
SENTENCIEUX  s a~ t a~ s j x
SENTENT  s a~ t q
SENTENT  s a~ t
SENTEUR  s a~ t x^ r
SENTEURS  s a~ t x^ r
SENTEZ  s a~ t e
SENTI  s a~ t i
SENTIE  s a~ t i
SENTIER  s a~ t j e
SENTIER  s a~ t j e r
SENTIERS  s a~ t j e
SENTIMENT  s a~ t i m a~
SENTIMENTAL  s a~ t i m a~ t a l
SENTIMENTALE  s a~ t i m a~ t a l
SENTIMENTALES  s a~ t i m a~ t a l q
SENTIMENTS  s a~ t i m a~
SENTIMENTS  s a~ t i m a~ z
SENTINELLE  s a~ t i n e^ l
SENTIR  s a~ t i r
SENTIS  s a~ t i
SENTIT  s a~ t i
SENTIT  s a~ t i t
SEPT  s e^ t
SEPTEMBRE  s e^ p t a~ b r
SEPTEMBRE  s e^ p t a~ b r x^
SEPTEMBRE  s e^ p t a~ b r q
SERA  s x^ r a
SERA-CE  s x^ r a s
SERA-T-IL  s x^ r a t i l
SERAI  s x^ r e
SERAI-JE  s x^ r e z^
SERAIENT  s x^ r e^
SERAIENT  s x^ r e^ t
SERAIS  s x^ r e^
SERAIS  s x^ r e^ z
SERAIS-JE  s x^ r e^ z^
SERAIT  s x^ r e^
SERAIT  s x^ r e^ t
SERAIT  s r e^
SERAIT-IL  s x^ r e^ t i l
SERAS  s x^ r a
SERAS-TU  s x^ r a t y
SEREINE  s x^ r e^ n
SEREINE  s x^ r e^ n q
SEREZ  s x^ r e
SEREZ  s x^ r e z
SEREZ-VOUS  s x^ r e v u
SERGENT  s e^ r z^ a~
SERIEZ  s x^ r j e
SERIEZ  s x^ r j e z
SERIEZ-VOUS  s x^ r j e v u
SERINS  s x^ r e~
SERIONS  s x^ r j o~ z
SERIONS  s x^ r j o~
SERMENT  s e^ r m a~
SERMENTS  s e^ r m a~
SERMONNAIT  s e^ r m o^ n e^ t
SERMONNER  s e^ r m o^ n e
SERMONS  s e^ r m o~
SERONS  s x^ r o~ z
SERONS  s x^ r o~
SERONT  s x^ r o~
SERONT  s x^ r o~ t
SERPENT  s e^ r p a~
SERPENTAIT  s e^ r p a~ t e^
SERPENTS  s e^ r p a~
SERRA  s e r a
SERRAIENT  s e r e^
SERRAIS  s e r e^
SERRAIT  s e r e^ t
SERRAIT  s e r e^
SERRANT  s e^ r a~
SERRE  s e r
SERRE  s e^ r
SERRE-TÊTE  s e^ r t e^ t
SERREMENT  s e^ r m a~
SERRER  s e r e
SERRERAI  s e r x^ r e
SERRURE  s e r y r
SERRURES  s e r y r
SERRURIER-MÉCANICIEN  s e r y r j e m e k a n i s j e~
SERRÉ  s e r e
SERRÉE  s e r e
SERRÉES  s e r e
SERRÉS  s e r e
SERT  s e^ r
SERT-IL  s e^ r t i l
SERVAIENT  s e^ r v e^
SERVAIS  s e^ r v e^
SERVAIS  s e^ r v e^ z
SERVAIT  s e^ r v e^
SERVANT  s e^ r v a~
SERVANTE  s e^ r v a~ t
SERVANTE  s e^ r v a~ t q
SERVANTES  s e^ r v a~ t
SERVANTES  s e^ r v a~ t q
SERVANTS  s e^ r v a~
SERVENT  s e^ r v
SERVI  s e^ r v i
SERVIABLE  s e^ r v j a b l q
SERVIABLE  s e^ r v j a b l
SERVICE  s e^ r v i s
SERVICES  s e^ r v i s
SERVIE  s e^ r v i
SERVIETTE  s e^ r v j e^ t
SERVIETTES  s e^ r v j e^ t
SERVILITÉ  s e^ r v i l i t e
SERVILITÉS  s e^ r v i l i t e
SERVIR  s e^ r v i r
SERVIRA  s e^ r v i r a
SERVIRAI  s e^ r v i r e
SERVIRAIT  s e^ r v i r e^
SERVIRAS  s e^ r v i r a
SERVIREZ  s e^ r v i r e
SERVIRONT  s e^ r v i r o~
SERVIT  s e^ r v i
SERVIT  s e^ r v i t
SERVITEUR  s e^ r v i t x^ r
SERVITUDE  s e^ r v i t y d q
SERVÎT  s e^ r v i t
SES  s e z
SES  s e
SEUIL  s x^ j
SEUL  s x^ l
SEUL  s x^ l q
SEULE  s x^ l
SEULE  s x^ l q
SEULEMENT  s x^ l m a~
SEULEMENT  s x^ l x^ m a~
SEULEMENT  s x^ l m a~ t
SEULEMENT  s x^ l x^ m a~ t
SEULES  s x^ l
SEULES  s x^ l z
SEULS  s x^ l
SEULS  s x^ l z
SEULS  s x^ l q
SEXAGÉNAIRE  s e^ k s a z^ e n e^ r
SEXE  s e^ k s
SEYTON  s e^ t o^ n
SEYTON  s e^ t o~
SHANG-HAÏ  s^ a~ g a j
SHANG-HAÏ  s^ a~ ng a j
SI  s i
SIC  s i k
SIED  s j e
SIEN  s j e~
SIEN-CHENG  s j e^ n t s^ e^ ng
SIENNE  s j e^ n
SIENNE  s j e^ n q
SIENNES  s j e^ n
SIENNES  s j e^ n q
SIENS  s j e~
SIEUR  s j x^ r q
SIEUR  s j x^ r
SIFFLE  s i f l q
SIFFLE-MOI  s i f l q m w a
SIFFLEMENTS  s i f l x^ m a~
SIFFLET  s i f l e^
SIGNA  s i n j a
SIGNAL  s i n j a l
SIGNALAIT  s i n j a l e^
SIGNALEMENT  s i n j a l m a~
SIGNALER  s i n j a l e
SIGNALÉ  s i n j a l e
SIGNATURE  s i n j a t y r
SIGNE  s i n~ q
SIGNE  s i n j
SIGNE  s i n j q
SIGNE  s i n~
SIGNE  s i n j x^
SIGNER  s i n j e
SIGNERAI  s i n~ x^ r e
SIGNES  s i n~ q
SIGNES  s i n~ x^
SIGNES  s i n~ x^ z
SIGNIFIAIENT  s i n j i f j e^
SIGNIFIAIT  s i n j i f j e^
SIGNIFIAIT  s i n~ i f j e^
SIGNIFICATIF  s i n~ i f i k a t i f
SIGNIFICATIF  s i n j i f i k a t i f
SIGNIFICATIFS  s i n j i f i k a t i f
SIGNIFICATIFS  s i n~ i f i k a t i f
SIGNIFICATIONS  s i n~ i f i k a s j o~
SIGNIFIE  s i n i f i
SIGNIFIE  s i n j i f i
SIGNIFIE  s i n~ i f i
SIGNIFIENT  s i n j i f i
SIGNÉ  s i n j e
SIGNÉ  s i n~ e
SILENCE  s i l a~ s
SILENCE  s i l a~ s q
SILENCIEUSE  s i l a~ s j x z
SILENCIEUSE  s i l a~ s j x z q
SILENCIEUSEMENT  s i l a~ s j x z m a~
SILENCIEUX  s i l a~ s j x
SILLONNAIENT  s i j o^ n e^
SILLONNE  s i j o^ n
SILLONNÉ  s i j o^ n e
SILLONNÉE  s i j o^ n e
SILLONS  s i j o~
SIMILOR  s i m i l o^ r
SIMON  s i m o~
SIMPLE  s e~ p l
SIMPLE  s e~ p l q
SIMPLEMENT  s e~ p l x^ m a~
SIMPLES  s e~ p l q
SIMPLES  s e~ p l
SIMPLES  s e~ p l x^ z
SIMPLICITÉ  s e~ p l i s i t e
SIMPLIFIÉ  s e~ p l i f j e
SIMULACRE  s i m y l a k r
SIMULTANÉMENT  s i m y l t a n e m a~
SIMULTANÉS  s i m y l t a n e
SINCÈRE  s e~ s e^ r
SINCÈREMENT  s e~ s e^ r m a~
SINCÈREMENT  s e~ s e^ r m a~ t
SINGAPORE  s e~ g a p o^ r
SINGE  s e~ z^ q
SINGE  s e~ z^
SINGES  s e~ z^
SINGULARITÉ  s e~ g y l a r i t e
SINGULIER  s e~ g y l j e
SINGULIER  s e~ g y l j e r
SINGULIÈRE  s e~ g y l j e^ r
SINGULIÈREMENT  s e~ g y l j e^ r m a~
SINGULIÈREMENT  s e~ g y l j e^ r m a~ t
SINGULIÈREMENT  s e~ g y l j e^ r x^ m a~ t
SINGULIÈRES  s e~ g y l j e^ r
SINISTRE  s i n i s t r
SINISTRE  s i n i s t r q
SINISTRES  s i n i s t r q
SINISTRES  s i n i s t r x^
SINON  s i n o~
SINUEUX  s i n y x
SINVES  s e~ v q
SIR  s x^ r
SIREY  s i r e^
SITES  s i t
SITUATION  s i t y a s j o~
SITUÉ  s i t y e
SITUÉE  s i t y e
SITÔT  s i t o
SIX  s i
SIX  s i z
SIX  s i s q
SIX  s i s
SIXIÈME  s i z j e^ m
SIXIÈME  s i z j e^ m q
SIÈCLE  s j e^ k l
SIÈCLE  s j e^ k l q
SIÈGE  s j e^ z^
SIÈGE  s j e^ z^ q
SIÈGES  s j e^ z^
SIÈGES  s j e^ z^ q
SMITH  s m i s
SOBRE  s o^ b r
SOCIALE  s o^ s j a l
SOCIALES  s o^ s j a l
SOCIÉTÉ  s o^ s j e t e
SOCLE  s o^ k l q
SOCQUES  s o^ k x^ z
SOCQUES  s o^ k
SOEUR  s x^ r
SOEURS  s x^ r
SOI  s w a
SOI-DISANT  s w a d i z a~
SOI-MÊME  s w a m e^ m
SOIE  s w a
SOIENT  s w a t
SOIENT  s w a
SOIERIES  s w a r i
SOIF  s w a f q
SOIF  s w a f
SOIGNA  s w a n n a
SOIGNAIT  s w a n j e^
SOIGNANT  s w a n j a~
SOIGNE  s w a n~ q
SOIGNER  s w a n j e r
SOIGNER  s w a n j e
SOIGNERA  s w a n j x^ r a
SOIGNEREZ  s w a n j x^ r e
SOIGNEUSE  s w a n j x z
SOIGNEUSEMENT  s w a n j x z m a~
SOIGNEUSEMENT  s w a n j x z m a~ t
SOIGNEUSEMENT  s w a n j x z x^ m a~
SOIGNÉ  s w a n j e
SOIGNÉE  s w a n j e
SOIGNÉS  s w a n j e
SOIN  s w e~
SOINS  s w e~
SOINS  s w e~ z
SOIR  s w a r
SOIR  s w a r q
SOIR-LÀ  s w a r l a
SOIRS  s w a r
SOIRÉE  s w a r e
SOIRÉES  s w a r e
SOIS  s w a
SOIS  s w a z
SOIT  s w a
SOIT  s w a t
SOIXANTE  s w a s a~ t
SOIXANTE  s w a s a~ n
SOIXANTE-CINQ  s w a s a~ t s e~ k
SOIXANTE-ET-UN  s w a s a~ t e^ x~
SOIXANTE-QUATRE  s w a s a~ t k a t r
SOIXANTE-QUATRE  s w a s a~ t k a t r q
SOIXANTE-QUINZE  s w a s a~ t k e~ z q
SOIXANTE-QUINZE  s w a s a~ t k e~ z
SOIXANTE-SEIZE  s w a s a~ n s e^ z
SOL  s o^ l
SOL  s o^ l q
SOLAIRE  s o^ l e^ r
SOLDAIT  s o^ l d e^
SOLDATESQUE  s o^ l d a t e^ s k
SOLDATS  s o^ l d a z
SOLDATS  s o^ l d a
SOLEIL  s o^ l e^ j
SOLENNEL  s o^ l a n e^ l
SOLENNEL  s o^ l a n e^ l q
SOLENNELLE  s o^ l a n e^ l
SOLENNELLE  s o^ l a n e^ l q
SOLENNITÉ  s o^ l a n i t e
SOLES  s o^ l q
SOLIDARITÉ  s o^ l i d a r i t e
SOLIDE  s o^ l i d q
SOLIDE  s o^ l i d
SOLIDEMENT  s o^ l i d x^ m a~
SOLIDEMENT  s o^ l i d m a~
SOLIDEMENT  s o^ l i d x^ m a~ t
SOLIDES  s o^ l i d
SOLIDES  s o^ l i d q
SOLITAIRE  s o^ l i t e^ r
SOLITAIRES  s o^ l i t e^ r
SOLITUDE  s o^ l i t y d q
SOLITUDE  s o^ l i t y d
SOLIVES  s o^ l i v
SOLLICITAIENT  s o^ l i s i t e^
SOLLICITUDE  s o^ l i s i t y d
SOMBRE  s o~ b r
SOMBRE  s o~ b r q
SOMBRE  s o~ b r x^
SOMBRES  s o~ b r
SOMBRES  s o~ b r q
SOMBRES  s o~ b r x^ z
SOMME  s o^ m q
SOMME  s o^ m
SOMMEIL  s o^ m e^ j
SOMMEILLA  s o^ m e^ j a
SOMMEILLAIT  s o^ m e^ j e^
SOMMEILLE  s o^ m e^ j
SOMMEILLER  s o^ m e j e
SOMMES  s o^ m
SOMMES  s o^ m q
SOMMES  s o^ m z
SOMMES-NOUS  s o^ m n u z
SOMMES-NOUS  s o^ m n u
SOMMET  s o^ m e^
SOMNAMBULE  s o^ m n a~ b y l
SOMNOLENCE  s o^ m n o^ l a~ s
SOMPTUEUSES  s o~ p t y x z
SOMPTUEUX  s o~ p t h x z
SOMPTUOSITÉ  s o~ p t y o z i t e
SON  s o~
SON  s o~ n
SONGE  s o~ z^
SONGEA  s o~ z^ a
SONGEAIENT  s o~ z^ e^ t
SONGEAIS  s o~ z^ e^ z
SONGEAIS  s o~ z^ e^
SONGEAIT  s o~ z^ e^ t
SONGEAIT  s o~ z^ e^
SONGEAIT-ELLE  s o~ z^ e^ t e^ l
SONGEANT  s o~ z^ a~ t
SONGEANT  s o~ z^ a~
SONGER  s o~ z^ e
SONGER  s o~ z^ e r
SONGERONS  s o~ z^ x^ r o~ z
SONGES  s o~ z^ q
SONGES  s o~ z^
SONGEZ  s o~ z^ e
SONGEZ  s o~ z^ e z
SONGEZ-Y  s o~ z^ e z i
SONGÉ  s o~ z^ e
SONNA  s o^ n a
SONNAIENT  s o^ n e^
SONNAIENT  s o^ n e^ t
SONNAIT  s o^ n e^ t
SONNAIT  s o^ n e^
SONNANT  s o^ n a~
SONNANTES  s o^ n a~ t
SONNE  s o^ n q
SONNE  s o^ n
SONNER  s o^ n e
SONNER  s o^ n e r
SONNERA  s o^ n x^ r a
SONNERIE  s o^ n x^ r i
SONNETTE  s o^ n e^ t
SONNETTES  s o^ n e^ t z
SONNÉ  s o^ n e
SONNÉS  s o^ n e
SONORE  s o^ n o^ r
SONORES  s o^ n o^ r
SONS  s o~
SONT  s o~
SONT  s o~ t
SONT-CE  s o~ s
SONT-ELLES  s o~ t e^ l
SONT-ILS  s o~ t i l z
SONT-ILS  s o~ t i l
SOPORIFIQUE  s o^ p o^ r i f i k
SORBONNE  s o^ r b o^ n q
SORBONNE  s o^ r b o^ n
SORBONNÉ  s o^ r b o^ n e
SORCIÈRE  s o^ r s j e^ r
SORDIDE  s o^ r d i d q
SORDIDES  s o^ r d i d q
SORGUE  s o^ r g q
SORS  s o^ r
SORS-TU  s o^ r t y
SORT  s o^ r
SORT  s o^ r t
SORT-IL  s o^ r t i l
SORTABLE  s o^ r t a b l q
SORTAIENT  s o^ r t e^
SORTAIT  s o^ r t e^
SORTAIT  s o^ r t e^ t
SORTANT  s o^ r t a~
SORTANT  s o^ r t a~ t
SORTE  s o^ r t
SORTE  s o^ r t q
SORTE  s o^ r t x^
SORTENT  s o^ r t x^ t
SORTENT  s o^ r t q
SORTES  s o^ r t
SORTES  s o^ r t q
SORTEZ  s o^ r t e
SORTI  s o^ r t i
SORTIE  s o^ r t i
SORTIES  s o^ r t i
SORTIONS  s o^ r t j o~ z
SORTIR  s o^ r t i r
SORTIRA  s o^ r t i r a
SORTIRAI  s o^ r t i r e
SORTIRAIS  s o^ r t i r e^
SORTIRAIT  s o^ r t i r e^ t
SORTIRAS  s o^ r t i r a
SORTIRENT  s o^ r t i r
SORTIREZ  s o^ r t i r e
SORTIRONS  s o^ r t i r o~
SORTIRONT  s o^ r t i r o~
SORTIS  s o^ r t i
SORTIT  s o^ r t i
SORTIT  s o^ r t i t
SORTONS  s o^ r t o~
SORTS  s o^ r
SOT  s o^
SOTS  s o^
SOTS  s o^ z
SOTTE  s o^ t
SOTTE  s o^ t q
SOTTISES  s o^ t i z
SOTTISES  s o^ t i z q
SOU  s u
SOU-TCHÉOU  s u t s^ e u
SOU-TCHÉOU-CREEK  s u t s^ e u k r i k
SOUCI  s u s i
SOUDAINE  s u d e^ n q
SOUFFERT  s u f e^ r
SOUFFLAIT  s u f l e^
SOUFFLANT  s u f l a~
SOUFFLE  s u f l
SOUFFLE  s u f l q
SOUFFLER  s u f l e
SOUFFLER  s u f l e r
SOUFFLET  s u f l e^
SOUFFLÉ  s u f l e
SOUFFRAIS  s u f r e^
SOUFFRAIT  s u f r e^
SOUFFRANCE  s u f r a~ s
SOUFFRANCES  s u f r a~ s
SOUFFRANCES  s u f r a~ s z
SOUFFRANT  s u f r a~
SOUFFRANTE  s u f r a~ t
SOUFFRANTES  s u f r a~ t
SOUFFRE  s u f r
SOUFFRE  s u f r x^
SOUFFRE  s u f r q
SOUFFRENT  s u f r q
SOUFFRENT  s u f r x^
SOUFFRES  s u f r q
SOUFFRETEUX  s u f r x^ t x
SOUFFRIR  s u f r i r
SOUFFRIRAI  s u f r i r e
SOUFFRIT  s u f r i
SOUFRE  s u f r
SOUFRE  s u f r q
SOUHAIT  s w e^
SOUHAITA  s w e^ t a
SOUHAITAIENT  s w e^ t e^
SOUHAITAIT  s w e^ t e^
SOUHAITE  s w e^ t
SOUHAITS  s w e^
SOUILLAIT  s u j e^
SOUILLER  s u j e
SOUILLURES  s u j y r
SOUILLÉ  s u j e
SOUILLÉE  s u j e
SOUILLÉS  s u j e
SOULAGEA  s u l a z^ a
SOULAGEMENT  s u l a z^ m a~
SOULAGER  s u l a z^ e
SOULAGERA  s u l a z^ r a
SOULAGÉ  s u l a z^ e
SOULAGÉE  s u l a z^ e
SOULEUR  s u l x^ r
SOULEVA  s u l x^ v a
SOULEVAIT  s u l x^ v e^
SOULEVANT  s u l v a~
SOULEVER  s u l x^ v e
SOULEVER  s u l x v e
SOULEVÈRENT  s u l x^ v e^ r
SOULEVÉ  s u l x^ v e
SOULIER  s u l j e
SOULIERS  s u l j e
SOULIERS  s u l j e z
SOULIGNE  s u l i n~ q
SOULIGNÉ  s u l i n j e
SOULÈVE  s u l e^ v
SOULÈVEMENT  s u l e^ v m a~
SOUMETS  s u m e^
SOUMETTRAIS  s u m e t r e^
SOUMETTRE  s u m e^ t r
SOUMETTRE  s u m e^ t r x^
SOUMIS  s u m i
SOUMISE  s u m i z
SOUMISSION  s u m i s j o~
SOUN  s u n
SOUPE  s u p
SOUPE  s u p q
SOUPENT  s u p t
SOUPER  s u p e
SOUPEREZ  s u p x^ r e z
SOUPES  s u p
SOUPIR  s u p i r
SOUPIRAIT  s u p i r e^
SOUPIRANT  s u p i r a~
SOUPIRAUX  s u p i r o
SOUPIRS  s u p i r
SOUPIRS  s u p i r z
SOUPLE  s u p l
SOUPLE  s u p l q
SOUPLES  s u p l q
SOUPLESSE  s u p l e^ s
SOUPÇON  s u p s o~
SOUPÇONNA  s u p s o^ n a
SOUPÇONNAIS  s u p s o^ n e^
SOUPÇONNAIT  s u p s o^ n e^
SOUPÇONNANT  s u p s o^ n a~
SOUPÇONNE  s u p s o^ n
SOUPÇONNER  s u p s o^ n e
SOUPÇONNEUX  s u p s o^ n x
SOUPÇONNEZ  s u p s o^ n e
SOUPÇONNÉ  s u p s o^ n e
SOUPÇONS  s u p s o~ z
SOUPÇONS  s u p s o~
SOUPÉ  s u p e
SOURCE  s u r s q
SOURCE  s u r s
SOURCILLA  s u r s i j a
SOURCILLER  s u r s i j e
SOURCILS  s u r s i l
SOURCILS  s u r s i l q z
SOURCILS  s u r s i l q
SOURD  s u r
SOURDE  s u r d
SOURDE  s u r d q
SOURDEMENT  s u r d x^ m a~
SOURDINE  s u r d i n q
SOURDS  s u r
SOURI  s u r i
SOURIAIENT  s u r j e^
SOURIAIT  s u r i j e^
SOURIAIT  s u r j e^ t
SOURIAIT  s u r j e^
SOURIANT  s u r j a~
SOURIANT  s u r j a~ t
SOURIANT  s u r i j a~ t
SOURIANT  s u r i j a~
SOURIANTE  s u r j a~ t
SOURIANTE  s u r i j a~ t
SOURICIÈRE  s u r i s j e^ r
SOURIENT  s u r i
SOURIRE  s u r i r
SOURIRES  s u r i r
SOURIT  s u r i
SOURIT  s u r i t
SOURNOIS  s u r n w a
SOURNOISEMENT  s u r n w a z m a~
SOURNOISEMENT  s u r n w a z x^ m a~
SOUS  s u
SOUS  s u z
SOUS-DIRECTEUR  s u d i r e^ k t x^ r
SOUS-MARIN  s u m a r e~
SOUS-PIEDS  s u p j e
SOUSCRIRE  s u s k r i r
SOUSCRITE  s u s k r i t
SOUSCRITES  s u s k r i t
SOUSTRAIRE  s u s t r e^ r
SOUSTRAIT  s u s t r e^
SOUTACHE  s u t a s^
SOUTANE  s u t a n q
SOUTANE  s u t a n
SOUTENAIENT  s u t x^ n e^
SOUTENAIT  s u t x^ n e^
SOUTENANT  s u t x^ n a~
SOUTENIR  s u t x^ n i r
SOUTENIR  s u t n i r
SOUTENIR  s u t x n i r
SOUTENU  s u t x^ n y
SOUTENUE  s u t x^ n y
SOUTERRAIN  s u t e^ r e~
SOUTERRAINE  s u t e^ r e^ n q
SOUTERRAINES  s u t e^ r e^ n
SOUTERRAINS  s u t e^ r e~
SOUTIEN  s u t j e~
SOUTIENDRAI  s u t j e~ d r e
SOUTIENT  s u t j e~
SOUTINT  s u t e~ t
SOUVENAIT  s u v x^ n e^
SOUVENEZ  s u v x^ n e
SOUVENEZ-VOUS  s u v x^ n e v u
SOUVENEZ-VOUS  s u v n e v u
SOUVENIR  s u v x^ n i r
SOUVENIR  s u v n i r
SOUVENIR  s u v x n i r
SOUVENIRS  s u v x^ n i r
SOUVENIRS  s u v x^ n i r z
SOUVENIRS  s u v n i r
SOUVENT  s u v a~ t
SOUVENT  s u v a~
SOUVENUE  s u v x^ n y
SOUVERAIN  s u v x^ r e~
SOUVERAIN  s u v r e~
SOUVERAINE  s u v x^ r e^ n q
SOUVERAINEMENT  s u v x^ r e^ n x^ m a~ t
SOUVERAINES  s u v x^ r e^ n q
SOUVERAINS  s u v x^ r e~
SOUVERAINS  s u v x^ r e~ z
SOUVIENS  s u v j e~
